packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
13.0,11.0,1611.0,7352.0,1.0,1.0,1.0,5.0,4.0,6.0,1059.0,6900.0,82.0,81.0,202.0,1360.0,700.0,2570.0,258.0,812.0,94.0,96.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,12.0,1777.0,7840.0,1.0,1.0,1.0,6.0,4.0,7.0,1225.0,7348.0,79.0,70.0,202.0,1360.0,866.0,1360.0,328.0,447.0,94.0,91.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,13.0,1692.0,7303.0,1.0,2.0,1.0,5.0,4.0,7.0,1008.0,6619.0,26.0,26.0,204.0,1408.0,647.0,1408.0,236.0,581.0,75.0,74.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,14.0,1728.0,7341.0,1.0,2.0,1.0,5.0,4.0,7.0,1044.0,6605.0,27.0,25.0,204.0,1408.0,683.0,1408.0,251.0,580.0,80.0,78.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,15.0,1724.0,7451.0,1.0,2.0,1.0,6.0,4.0,8.0,988.0,6663.0,24.0,21.0,207.0,1408.0,624.0,1408.0,226.0,549.0,67.0,66.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,11.0,1818.0,7567.0,1.0,1.0,1.0,5.0,4.0,6.0,1226.0,7115.0,75.0,80.0,202.0,1360.0,867.0,2570.0,329.0,780.0,84.0,93.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,14.0,1620.0,7335.0,1.0,2.0,1.0,5.0,4.0,7.0,936.0,6599.0,26.0,23.0,204.0,1408.0,575.0,1408.0,206.0,580.0,77.0,76.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,14.0,1608.0,7306.0,1.0,2.0,1.0,5.0,4.0,7.0,924.0,6570.0,27.0,24.0,204.0,1408.0,563.0,1408.0,201.0,578.0,79.0,78.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,14.0,1612.0,7310.0,1.0,2.0,1.0,5.0,4.0,7.0,928.0,6574.0,26.0,24.0,204.0,1408.0,567.0,1408.0,202.0,578.0,78.0,76.0,amazon-amazon-echo-dot-with-clock-gen3
11.0,10.0,1040.0,4248.0,1.0,1.0,0.0,3.0,4.0,4.0,460.0,3720.0,39.0,39.0,206.0,1408.0,206.0,1852.0,64.0,729.0,80.0,73.0,amazon-amazon-echo-dot-with-clock-gen3
