,packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
2659,13.0,13.0,1714.0,7303.0,1.0,2.0,1.0,4.0,4.0,6.0,1030.0,6619.0,28.0,27.0,204.0,1402.0,669.0,2804.0,245.0,934.0,81.0,78.0,amazon-amazon-echo-dot-with-clock-gen3
2660,21.0,20.0,4392.0,5576.0,3.0,5.0,3.0,4.0,8.0,11.0,3520.0,4764.0,64.0,58.0,417.0,96.0,1360.0,1360.0,544.0,588.0,73.0,75.0,amazon-amazon-echo-dot-with-clock-gen3
2661,21.0,20.0,4392.0,5576.0,3.0,5.0,3.0,4.0,8.0,11.0,3520.0,4764.0,63.0,58.0,417.0,96.0,1360.0,1360.0,544.0,588.0,71.0,75.0,amazon-amazon-echo-dot-with-clock-gen3
2662,19.0,19.0,2716.0,5536.0,2.0,5.0,2.0,4.0,6.0,11.0,1924.0,4764.0,82.0,71.0,417.0,96.0,1162.0,1360.0,398.0,588.0,85.0,85.0,amazon-amazon-echo-dot-with-clock-gen3
2663,13.0,12.0,1694.0,7266.0,1.0,2.0,1.0,4.0,4.0,6.0,1010.0,6634.0,41.0,44.0,207.0,1402.0,646.0,2804.0,235.0,935.0,128.0,126.0,amazon-amazon-echo-dot-with-clock-gen3
2664,25.0,21.0,10464.0,5616.0,2.0,5.0,8.0,4.0,12.0,11.0,9432.0,4764.0,53.0,54.0,417.0,96.0,1360.0,1360.0,592.0,588.0,69.0,73.0,amazon-amazon-echo-dot-with-clock-gen3
2665,29.0,21.0,15918.0,5616.0,2.0,5.0,12.0,3.0,16.0,10.0,14726.0,4764.0,46.0,56.0,417.0,96.0,1360.0,2715.0,584.0,842.0,68.0,83.0,amazon-amazon-echo-dot-with-clock-gen3
2666,28.0,21.0,14624.0,5616.0,2.0,5.0,11.0,3.0,15.0,10.0,13472.0,4764.0,47.0,54.0,417.0,96.0,1360.0,2720.0,583.0,843.0,67.0,73.0,amazon-amazon-echo-dot-with-clock-gen3
2667,19.0,19.0,2716.0,5536.0,2.0,5.0,2.0,4.0,6.0,11.0,1924.0,4764.0,78.0,67.0,417.0,96.0,1162.0,1360.0,398.0,588.0,80.0,80.0,amazon-amazon-echo-dot-with-clock-gen3
2668,15.0,14.0,1985.0,6558.0,2.0,1.0,3.0,6.0,6.0,7.0,1353.0,5986.0,56.0,60.0,416.0,1360.0,561.0,1360.0,205.0,505.0,71.0,83.0,amazon-amazon-echo-dot-with-clock-gen3
2669,14.0,12.0,1666.0,7224.0,1.0,2.0,1.0,4.0,4.0,6.0,930.0,6592.0,28.0,33.0,204.0,1402.0,569.0,2804.0,203.0,934.0,93.0,84.0,amazon-amazon-echo-dot-with-clock-gen3
2670,21.0,19.0,4392.0,5536.0,3.0,5.0,3.0,3.0,8.0,10.0,3520.0,4764.0,63.0,60.0,417.0,96.0,1360.0,2715.0,544.0,842.0,72.0,79.0,amazon-amazon-echo-dot-with-clock-gen3
2671,113.0,164.0,16895.0,17448.0,66.0,67.0,17.0,5.0,87.0,81.0,12343.0,10876.0,16059.0,11034.0,214.0,1360.0,1360.0,2720.0,556.0,1081.0,16008.0,10983.0,amazon-amazon-echo-dot-with-clock-gen3
2672,13.0,14.0,1714.0,7384.0,1.0,2.0,1.0,5.0,4.0,7.0,1030.0,6648.0,25.0,23.0,204.0,1402.0,669.0,2804.0,245.0,889.0,71.0,69.0,amazon-amazon-echo-dot-with-clock-gen3
2673,27.0,21.0,13707.0,5616.0,2.0,5.0,10.0,3.0,14.0,10.0,12595.0,4764.0,50.0,56.0,417.0,96.0,1360.0,2715.0,583.0,842.0,69.0,74.0,amazon-amazon-echo-dot-with-clock-gen3
2674,24.0,21.0,9226.0,5616.0,2.0,5.0,7.0,3.0,11.0,10.0,8234.0,4764.0,54.0,54.0,417.0,96.0,1360.0,2715.0,569.0,842.0,70.0,77.0,amazon-amazon-echo-dot-with-clock-gen3
2675,19.0,19.0,2716.0,5536.0,2.0,5.0,2.0,3.0,6.0,10.0,1924.0,4764.0,72.0,62.0,417.0,96.0,1162.0,2715.0,398.0,842.0,74.0,76.0,amazon-amazon-echo-dot-with-clock-gen3
2676,13.0,13.0,1750.0,7318.0,1.0,2.0,1.0,5.0,4.0,7.0,1066.0,6634.0,27.0,26.0,204.0,1402.0,705.0,2804.0,260.0,890.0,80.0,77.0,amazon-amazon-echo-dot-with-clock-gen3
2677,21.0,19.0,4392.0,5536.0,3.0,5.0,3.0,3.0,8.0,10.0,3520.0,4764.0,63.0,61.0,417.0,96.0,1360.0,2715.0,544.0,842.0,71.0,79.0,amazon-amazon-echo-dot-with-clock-gen3
2678,13.0,12.0,1694.0,7266.0,1.0,2.0,1.0,4.0,4.0,6.0,1010.0,6634.0,23.0,24.0,207.0,1402.0,646.0,2804.0,235.0,935.0,67.0,62.0,amazon-amazon-echo-dot-with-clock-gen3
2679,19.0,18.0,2716.0,5496.0,2.0,5.0,2.0,3.0,6.0,10.0,1924.0,4764.0,71.0,65.0,417.0,96.0,1162.0,2715.0,398.0,842.0,73.0,78.0,amazon-amazon-echo-dot-with-clock-gen3
2680,14.0,13.0,1945.0,6518.0,1.0,1.0,3.0,5.0,5.0,6.0,1353.0,5986.0,66.0,71.0,416.0,1360.0,561.0,2720.0,196.0,879.0,86.0,93.0,amazon-amazon-echo-dot-with-clock-gen3
2681,26.0,20.0,12548.0,5576.0,2.0,5.0,9.0,3.0,13.0,10.0,11476.0,4764.0,55.0,63.0,417.0,96.0,1360.0,2715.0,583.0,842.0,72.0,84.0,amazon-amazon-echo-dot-with-clock-gen3
2682,22.0,16.0,1859.0,7591.0,4.0,5.0,1.0,4.0,7.0,10.0,935.0,6939.0,756.0,96.0,214.0,1360.0,435.0,2720.0,137.0,925.0,715.0,80.0,amazon-amazon-echo-dot-with-clock-gen3
2683,13.0,14.0,1642.0,7364.0,1.0,2.0,1.0,5.0,4.0,7.0,958.0,6628.0,25.0,22.0,204.0,1402.0,597.0,2804.0,215.0,890.0,73.0,71.0,amazon-amazon-echo-dot-with-clock-gen3
2684,27.0,20.0,10079.0,5621.0,3.0,6.0,7.0,4.0,12.0,12.0,8955.0,4809.0,52.0,61.0,417.0,96.0,1360.0,1360.0,601.0,597.0,72.0,81.0,amazon-amazon-echo-dot-with-clock-gen3
2685,27.0,19.0,13687.0,5536.0,2.0,5.0,10.0,3.0,14.0,10.0,12575.0,4764.0,49.0,61.0,417.0,96.0,1360.0,2715.0,583.0,842.0,68.0,83.0,amazon-amazon-echo-dot-with-clock-gen3
2686,30.0,22.0,15099.0,5701.0,2.0,6.0,11.0,4.0,15.0,12.0,13855.0,4809.0,47.0,57.0,417.0,96.0,1360.0,1360.0,584.0,597.0,71.0,76.0,amazon-amazon-echo-dot-with-clock-gen3
2687,13.0,13.0,1614.0,7305.0,1.0,2.0,1.0,5.0,4.0,7.0,930.0,6621.0,25.0,25.0,204.0,1402.0,569.0,2804.0,203.0,891.0,71.0,68.0,amazon-amazon-echo-dot-with-clock-gen3
2688,13.0,14.0,1714.0,7355.0,1.0,2.0,1.0,5.0,4.0,7.0,1030.0,6619.0,24.0,22.0,204.0,1402.0,669.0,1402.0,245.0,580.0,73.0,71.0,amazon-amazon-echo-dot-with-clock-gen3
2689,12.0,11.0,1710.0,6551.0,1.0,1.0,1.0,4.0,4.0,5.0,1078.0,5971.0,20.0,21.0,222.0,1402.0,699.0,2804.0,257.0,928.0,51.0,49.0,amazon-amazon-echo-dot-with-clock-gen3
2690,14.0,10.0,1673.0,7312.0,1.0,1.0,1.0,5.0,4.0,6.0,1081.0,6900.0,69.0,82.0,202.0,1360.0,722.0,2570.0,267.0,812.0,78.0,86.0,amazon-amazon-echo-dot-with-clock-gen3
2691,22.0,18.0,5842.0,5496.0,2.0,5.0,4.0,3.0,9.0,10.0,4930.0,4764.0,62.0,67.0,417.0,96.0,1360.0,2715.0,584.0,842.0,72.0,86.0,amazon-amazon-echo-dot-with-clock-gen3
2692,19.0,19.0,2716.0,5536.0,2.0,5.0,2.0,4.0,6.0,11.0,1924.0,4764.0,82.0,71.0,417.0,96.0,1162.0,1360.0,398.0,588.0,83.0,88.0,amazon-amazon-echo-dot-with-clock-gen3
2693,13.0,14.0,1750.0,7341.0,1.0,2.0,1.0,5.0,4.0,7.0,1066.0,6605.0,25.0,22.0,204.0,1402.0,705.0,1402.0,260.0,579.0,71.0,69.0,amazon-amazon-echo-dot-with-clock-gen3
2694,112.0,160.0,16159.0,17107.0,67.0,66.0,15.0,5.0,85.0,79.0,11647.0,10695.0,16005.0,11173.0,214.0,1360.0,1360.0,2720.0,404.0,1081.0,15961.0,11129.0,amazon-amazon-echo-dot-with-clock-gen3
2695,13.0,13.0,1630.0,7254.0,1.0,2.0,1.0,4.0,4.0,6.0,946.0,6570.0,23.0,23.0,204.0,1402.0,585.0,2804.0,210.0,934.0,68.0,66.0,amazon-amazon-echo-dot-with-clock-gen3
2696,21.0,19.0,4986.0,5536.0,2.0,5.0,4.0,3.0,8.0,10.0,4114.0,4764.0,63.0,60.0,417.0,96.0,1360.0,2715.0,524.0,842.0,71.0,80.0,amazon-amazon-echo-dot-with-clock-gen3
2697,27.0,21.0,13593.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12481.0,4764.0,53.0,60.0,417.0,96.0,1360.0,1360.0,583.0,588.0,80.0,81.0,amazon-amazon-echo-dot-with-clock-gen3
2698,28.0,21.0,14269.0,5616.0,2.0,5.0,10.0,3.0,15.0,10.0,13117.0,4764.0,47.0,55.0,417.0,96.0,1360.0,2715.0,584.0,842.0,68.0,80.0,amazon-amazon-echo-dot-with-clock-gen3
2699,19.0,20.0,2716.0,5576.0,2.0,5.0,2.0,4.0,6.0,11.0,1924.0,4764.0,71.0,58.0,417.0,96.0,1162.0,1360.0,398.0,588.0,75.0,63.0,amazon-amazon-echo-dot-with-clock-gen3
2700,15.0,13.0,1985.0,6518.0,2.0,1.0,3.0,5.0,6.0,6.0,1353.0,5986.0,60.0,67.0,416.0,1360.0,561.0,2720.0,205.0,879.0,74.0,87.0,amazon-amazon-echo-dot-with-clock-gen3
2701,13.0,13.0,1614.0,7276.0,1.0,2.0,1.0,4.0,4.0,6.0,930.0,6592.0,27.0,27.0,204.0,2804.0,569.0,2804.0,203.0,934.0,73.0,71.0,amazon-amazon-echo-dot-with-clock-gen3
2702,13.0,13.0,1694.0,7318.0,1.0,2.0,1.0,5.0,4.0,7.0,1010.0,6634.0,23.0,23.0,207.0,1402.0,646.0,1402.0,235.0,580.0,69.0,67.0,amazon-amazon-echo-dot-with-clock-gen3
2703,27.0,22.0,13175.0,5656.0,2.0,5.0,10.0,3.0,14.0,10.0,12063.0,4764.0,50.0,53.0,417.0,96.0,1360.0,2715.0,584.0,842.0,68.0,85.0,amazon-amazon-echo-dot-with-clock-gen3
2704,21.0,20.0,4392.0,5576.0,3.0,5.0,3.0,4.0,8.0,11.0,3520.0,4764.0,68.0,62.0,417.0,96.0,1360.0,1360.0,544.0,588.0,81.0,79.0,amazon-amazon-echo-dot-with-clock-gen3
2705,13.0,12.0,1750.0,7237.0,1.0,2.0,1.0,4.0,4.0,6.0,1066.0,6605.0,25.0,26.0,204.0,1402.0,705.0,2804.0,260.0,934.0,75.0,72.0,amazon-amazon-echo-dot-with-clock-gen3
