packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName,flowEndMilliseconds
29.0,23.0,15858.0,5696.0,2.0,5.0,12.0,3.0,16.0,10.0,14666.0,4764.0,50.0,55.0,423.0,96.0,1360.0,2715.0,583.0,842.0,80.0,81.0,amazon-amazon-echo-dot-with-clock-gen3,1605050785.18
20.0,19.0,3873.0,5536.0,2.0,5.0,3.0,4.0,7.0,11.0,3041.0,4764.0,69.0,62.0,423.0,96.0,1360.0,1360.0,475.0,588.0,76.0,67.0,amazon-amazon-echo-dot-with-clock-gen3,1605050786.305
20.0,19.0,3716.0,6896.0,2.0,5.0,3.0,4.0,7.0,11.0,2840.0,6124.0,92.0,87.0,423.0,96.0,1360.0,2715.0,451.0,868.0,92.0,119.0,amazon-amazon-echo-dot-with-clock-gen3,1605050787.885
20.0,18.0,3873.0,5496.0,2.0,5.0,3.0,3.0,7.0,10.0,3041.0,4764.0,76.0,73.0,423.0,96.0,1360.0,2715.0,475.0,842.0,78.0,89.0,amazon-amazon-echo-dot-with-clock-gen3,1605050789.15
23.0,22.0,8301.0,5656.0,2.0,5.0,6.0,4.0,10.0,11.0,7349.0,4764.0,65.0,58.0,423.0,96.0,1360.0,1360.0,593.0,588.0,79.0,71.0,amazon-amazon-echo-dot-with-clock-gen3,1605050790.371
20.0,18.0,3672.0,5496.0,2.0,5.0,3.0,4.0,7.0,11.0,2840.0,4764.0,75.0,72.0,423.0,96.0,1360.0,1360.0,451.0,588.0,81.0,87.0,amazon-amazon-echo-dot-with-clock-gen3,1605050791.612
23129.0,49882.0,1232044.0,97088747.0,1.0,3.0,0.0,49820.0,4.0,49826.0,584.0,94494875.0,2.0,1.0,214.0,1402.0,214.0,11216.0,75.0,1809.0,9.0,10.0,amazon-amazon-echo-dot-with-clock-gen3,1605051116.353
20.0,17.0,5292.0,8591.0,4.0,3.0,3.0,5.0,10.0,9.0,4244.0,7699.0,8.0,9.0,206.0,1402.0,1402.0,2871.0,548.0,940.0,14.0,18.0,amazon-amazon-echo-dot-with-clock-gen3,1605051154.105
15.0,12.0,3321.0,6014.0,2.0,2.0,3.0,4.0,6.0,6.0,2689.0,5522.0,61.0,59.0,421.0,1360.0,1360.0,3107.0,490.0,1073.0,72.0,89.0,amazon-amazon-echo-dot-with-clock-gen3,1605051155.336
15.0,13.0,1985.0,6518.0,2.0,1.0,3.0,5.0,6.0,6.0,1353.0,5986.0,57.0,65.0,416.0,1360.0,561.0,2720.0,205.0,879.0,73.0,81.0,amazon-amazon-echo-dot-with-clock-gen3,1605051155.448
15.0,14.0,1985.0,6558.0,2.0,1.0,3.0,6.0,6.0,7.0,1353.0,5986.0,51.0,55.0,416.0,1360.0,561.0,1360.0,205.0,505.0,66.0,73.0,amazon-amazon-echo-dot-with-clock-gen3,1605051155.795
12.0,12.0,1378.0,6603.0,1.0,1.0,1.0,5.0,4.0,6.0,746.0,5971.0,52.0,51.0,222.0,1402.0,367.0,1402.0,124.0,511.0,157.0,154.0,amazon-amazon-echo-dot-with-clock-gen3,1605051155.966
18.0,14.0,2154.0,6163.0,2.0,1.0,2.0,5.0,5.0,8.0,1390.0,5591.0,117.0,139.0,409.0,1360.0,824.0,2720.0,306.0,852.0,97.0,289.0,amazon-amazon-echo-dot-with-clock-gen3,1605051156.062
16.0,13.0,1518.0,7834.0,1.0,1.0,1.0,5.0,4.0,8.0,834.0,7302.0,58.0,59.0,202.0,1360.0,475.0,2720.0,165.0,844.0,74.0,77.0,amazon-amazon-echo-dot-with-clock-gen3,1605051156.215
13.0,10.0,1591.0,7369.0,1.0,1.0,1.0,5.0,4.0,6.0,1039.0,6957.0,74.0,81.0,202.0,1360.0,680.0,2720.0,250.0,844.0,85.0,86.0,amazon-amazon-echo-dot-with-clock-gen3,1605051156.249
14.0,11.0,1426.0,7536.0,1.0,1.0,1.0,5.0,4.0,6.0,834.0,7084.0,78.0,83.0,202.0,1360.0,475.0,2566.0,165.0,782.0,83.0,96.0,amazon-amazon-echo-dot-with-clock-gen3,1605051156.351
14.0,11.0,1673.0,7352.0,1.0,1.0,1.0,5.0,4.0,6.0,1081.0,6900.0,68.0,72.0,202.0,1360.0,722.0,2570.0,267.0,812.0,80.0,85.0,amazon-amazon-echo-dot-with-clock-gen3,1605051156.86
14.0,10.0,1840.0,7760.0,1.0,1.0,1.0,5.0,4.0,6.0,1248.0,7348.0,67.0,78.0,202.0,1360.0,889.0,2720.0,338.0,797.0,75.0,82.0,amazon-amazon-echo-dot-with-clock-gen3,1605051158.488
14.0,10.0,1841.0,7527.0,1.0,1.0,1.0,5.0,4.0,6.0,1249.0,7115.0,72.0,86.0,202.0,1360.0,890.0,2720.0,339.0,822.0,79.0,90.0,amazon-amazon-echo-dot-with-clock-gen3,1605051159.699
13.0,13.0,1694.0,7347.0,1.0,2.0,1.0,5.0,4.0,7.0,1010.0,6663.0,24.0,24.0,207.0,1402.0,646.0,2804.0,235.0,889.0,66.0,64.0,amazon-amazon-echo-dot-with-clock-gen3,1605051159.845
14.0,14.0,1766.0,7355.0,1.0,2.0,1.0,5.0,4.0,7.0,1030.0,6619.0,26.0,25.0,204.0,1402.0,669.0,1402.0,245.0,580.0,78.0,76.0,amazon-amazon-echo-dot-with-clock-gen3,1605051159.881
14.0,13.0,1802.0,7318.0,1.0,2.0,1.0,5.0,4.0,7.0,1066.0,6634.0,139.0,149.0,204.0,1402.0,705.0,2804.0,260.0,890.0,514.0,511.0,amazon-amazon-echo-dot-with-clock-gen3,1605051161.328
13.0,13.0,1630.0,7254.0,1.0,2.0,1.0,5.0,4.0,7.0,946.0,6570.0,29.0,29.0,204.0,1402.0,585.0,1402.0,210.0,577.0,78.0,76.0,amazon-amazon-echo-dot-with-clock-gen3,1605051161.783
13.0,14.0,1642.0,7335.0,1.0,2.0,1.0,5.0,4.0,7.0,958.0,6599.0,29.0,26.0,204.0,1402.0,597.0,1402.0,215.0,578.0,81.0,78.0,amazon-amazon-echo-dot-with-clock-gen3,1605051161.789
13.0,14.0,1634.0,7339.0,1.0,2.0,1.0,6.0,4.0,8.0,950.0,6603.0,29.0,26.0,204.0,1402.0,589.0,1402.0,211.0,549.0,78.0,76.0,amazon-amazon-echo-dot-with-clock-gen3,1605051161.794
12.0,10.0,1104.0,4704.0,1.0,1.0,0.0,4.0,4.0,5.0,460.0,4176.0,35.0,42.0,206.0,1402.0,206.0,1858.0,64.0,680.0,78.0,74.0,amazon-amazon-echo-dot-with-clock-gen3,1605051166.822
18.0,15.0,1525.0,5524.0,1.0,5.0,1.0,5.0,4.0,11.0,773.0,4912.0,334.0,394.0,221.0,96.0,395.0,1491.0,134.0,556.0,306.0,365.0,amazon-amazon-echo-dot-with-clock-gen3,1605051167.497
4328.0,2523.0,180553.0,11806203.0,1.0,5.0,1.0,2513.0,4.0,2519.0,805.0,11705271.0,1.0,2.0,221.0,96.0,427.0,65044.0,146.0,4063.0,77.0,88.0,amazon-amazon-echo-dot-with-clock-gen3,1605051167.5
18.0,15.0,1538.0,5928.0,1.0,5.0,1.0,5.0,4.0,11.0,786.0,5316.0,335.0,395.0,221.0,96.0,408.0,1491.0,139.0,595.0,306.0,365.0,amazon-amazon-echo-dot-with-clock-gen3,1605051167.503
23.0,18.0,1722.0,19869.0,1.0,5.0,1.0,9.0,4.0,15.0,770.0,19137.0,260.0,328.0,221.0,96.0,392.0,7070.0,133.0,954.0,230.0,297.0,amazon-amazon-echo-dot-with-clock-gen3,1605051167.525
14.0,9.0,1631.0,7329.0,1.0,1.0,1.0,4.0,4.0,5.0,1039.0,6957.0,74.0,98.0,202.0,1360.0,680.0,3930.0,250.0,1359.0,82.0,93.0,amazon-amazon-echo-dot-with-clock-gen3,1605051212.389
14.0,11.0,1631.0,7409.0,1.0,1.0,1.0,6.0,4.0,7.0,1039.0,6957.0,69.0,73.0,202.0,1360.0,680.0,1360.0,250.0,497.0,80.0,85.0,amazon-amazon-echo-dot-with-clock-gen3,1605051213.138
14.0,12.0,1631.0,7449.0,1.0,1.0,1.0,5.0,4.0,6.0,1039.0,6957.0,76.0,74.0,202.0,1360.0,680.0,2720.0,250.0,844.0,82.0,93.0,amazon-amazon-echo-dot-with-clock-gen3,1605051213.989
14.0,10.0,1631.0,7369.0,1.0,1.0,1.0,5.0,4.0,6.0,1039.0,6957.0,74.0,87.0,202.0,1360.0,680.0,2720.0,250.0,844.0,81.0,93.0,amazon-amazon-echo-dot-with-clock-gen3,1605051214.798
3020.0,2172.0,2368852.0,1480579.0,119.0,257.0,2029.0,694.0,2179.0,1060.0,2247948.0,1393687.0,456.0,690.0,214.0,1360.0,1360.0,18193.0,887.0,1091.0,417.0,649.0,amazon-amazon-echo-dot-with-clock-gen3,1605051242.17
41.0,32.0,4586.0,8766.0,15.0,15.0,2.0,5.0,19.0,20.0,2446.0,7094.0,34143.0,49533.0,191.0,1402.0,1402.0,2455.0,411.0,878.0,34065.0,47198.0,amazon-amazon-echo-dot-with-clock-gen3,1605051282.289
15.0,14.0,2232.0,6121.0,2.0,1.0,3.0,6.0,6.0,7.0,1600.0,5549.0,52.0,56.0,428.0,1360.0,608.0,1360.0,232.0,513.0,67.0,78.0,amazon-amazon-echo-dot-with-clock-gen3,1605051628.71
13.0,14.0,1614.0,7328.0,1.0,2.0,1.0,5.0,4.0,7.0,930.0,6592.0,27.0,25.0,204.0,1402.0,569.0,1402.0,203.0,578.0,80.0,78.0,amazon-amazon-echo-dot-with-clock-gen3,1605051860.538
20.0,18.0,4218.0,5496.0,2.0,5.0,3.0,3.0,7.0,10.0,3386.0,4764.0,67.0,65.0,417.0,96.0,1360.0,2720.0,538.0,843.0,75.0,76.0,amazon-amazon-echo-dot-with-clock-gen3,1605052529.044
22.0,19.0,6993.0,5536.0,2.0,5.0,5.0,4.0,9.0,11.0,6081.0,4764.0,64.0,64.0,417.0,96.0,1360.0,1360.0,595.0,588.0,74.0,79.0,amazon-amazon-echo-dot-with-clock-gen3,1605052530.219
29.0,23.0,16297.0,5696.0,2.0,5.0,12.0,3.0,16.0,10.0,15105.0,4764.0,50.0,55.0,417.0,96.0,1360.0,2715.0,586.0,842.0,72.0,86.0,amazon-amazon-echo-dot-with-clock-gen3,1605052531.442
23.0,19.0,8018.0,5536.0,2.0,5.0,6.0,4.0,10.0,11.0,7066.0,4764.0,63.0,66.0,417.0,96.0,1360.0,1360.0,580.0,588.0,81.0,82.0,amazon-amazon-echo-dot-with-clock-gen3,1605052532.655
19.0,19.0,2718.0,5536.0,2.0,5.0,2.0,4.0,6.0,11.0,1926.0,4764.0,74.0,64.0,417.0,96.0,1164.0,1360.0,398.0,588.0,77.0,78.0,amazon-amazon-echo-dot-with-clock-gen3,1605052889.071
214.0,242.0,68604.0,33758.0,75.0,80.0,66.0,21.0,146.0,122.0,60000.0,24066.0,8401.0,7425.0,214.0,1360.0,1360.0,3302.0,278.0,1121.0,8361.0,7385.0,amazon-amazon-echo-dot-with-clock-gen3,1605052949.071
49.0,27.0,5133.0,8631.0,19.0,19.0,2.0,5.0,23.0,24.0,2577.0,7219.0,36037.0,66523.0,191.0,1402.0,1402.0,2804.0,414.0,952.0,35953.0,57177.0,amazon-amazon-echo-dot-with-clock-gen3,1605052900.38
19.0,19.0,2187.0,5536.0,2.0,5.0,2.0,4.0,6.0,11.0,1395.0,4764.0,73.0,64.0,417.0,96.0,634.0,1360.0,221.0,588.0,79.0,78.0,amazon-amazon-echo-dot-with-clock-gen3,1605053609.066
21.0,18.0,3799.0,5532.0,2.0,5.0,3.0,4.0,7.0,11.0,2903.0,4800.0,96.0,102.0,417.0,96.0,1360.0,1360.0,458.0,585.0,130.0,132.0,amazon-amazon-echo-dot-with-clock-gen3,1605053610.825
19.0,19.0,2187.0,5536.0,2.0,5.0,2.0,4.0,6.0,11.0,1395.0,4764.0,74.0,64.0,417.0,96.0,634.0,1360.0,221.0,588.0,76.0,77.0,amazon-amazon-echo-dot-with-clock-gen3,1605053611.984
19.0,19.0,2187.0,5536.0,2.0,5.0,2.0,4.0,6.0,11.0,1395.0,4764.0,77.0,67.0,417.0,96.0,634.0,1360.0,221.0,588.0,80.0,81.0,amazon-amazon-echo-dot-with-clock-gen3,1605053613.21
24.0,20.0,6283.0,5621.0,2.0,6.0,5.0,3.0,9.0,11.0,5279.0,4809.0,58.0,61.0,417.0,96.0,1360.0,2715.0,563.0,842.0,69.0,87.0,amazon-amazon-echo-dot-with-clock-gen3,1605053614.376
21.0,20.0,2279.0,5621.0,2.0,6.0,2.0,4.0,6.0,12.0,1395.0,4809.0,70.0,63.0,417.0,96.0,634.0,1360.0,221.0,597.0,76.0,81.0,amazon-amazon-echo-dot-with-clock-gen3,1605053615.595
19.0,19.0,2187.0,5536.0,2.0,5.0,2.0,4.0,6.0,11.0,1395.0,4764.0,74.0,64.0,417.0,96.0,634.0,1360.0,221.0,588.0,78.0,78.0,amazon-amazon-echo-dot-with-clock-gen3,1605053616.753
20.0,17.0,3735.0,5456.0,2.0,5.0,3.0,3.0,7.0,10.0,2903.0,4764.0,71.0,72.0,417.0,96.0,1360.0,2715.0,458.0,842.0,78.0,87.0,amazon-amazon-echo-dot-with-clock-gen3,1605053617.93
19.0,18.0,2187.0,5496.0,2.0,5.0,2.0,3.0,6.0,10.0,1395.0,4764.0,75.0,69.0,417.0,96.0,634.0,2715.0,221.0,842.0,78.0,87.0,amazon-amazon-echo-dot-with-clock-gen3,1605053619.097
27.0,21.0,13198.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12086.0,4764.0,49.0,55.0,417.0,96.0,1360.0,1360.0,584.0,588.0,70.0,71.0,amazon-amazon-echo-dot-with-clock-gen3,1605053620.218
27.0,21.0,13522.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12410.0,4764.0,57.0,64.0,417.0,96.0,1360.0,1360.0,583.0,588.0,70.0,75.0,amazon-amazon-echo-dot-with-clock-gen3,1605053621.551
29.0,20.0,13180.0,5621.0,2.0,6.0,10.0,3.0,14.0,11.0,11976.0,4809.0,65.0,86.0,417.0,96.0,1360.0,2715.0,584.0,842.0,77.0,97.0,amazon-amazon-echo-dot-with-clock-gen3,1605053623.193
27.0,21.0,13100.0,5616.0,2.0,5.0,10.0,3.0,14.0,10.0,11976.0,4764.0,83.0,98.0,417.0,96.0,1360.0,2715.0,584.0,842.0,80.0,135.0,amazon-amazon-echo-dot-with-clock-gen3,1605053625.17
27.0,19.0,13661.0,5536.0,2.0,5.0,10.0,4.0,14.0,11.0,12549.0,4764.0,52.0,65.0,417.0,96.0,1360.0,1360.0,583.0,588.0,73.0,87.0,amazon-amazon-echo-dot-with-clock-gen3,1605053626.333
14.0,12.0,2431.0,7498.0,1.0,1.0,1.0,6.0,5.0,7.0,1807.0,7006.0,122.0,129.0,202.0,1360.0,1360.0,1360.0,502.0,489.0,91.0,94.0,amazon-amazon-echo-dot-with-clock-gen3,1605053626.567
27.0,21.0,13457.0,5616.0,2.0,5.0,10.0,3.0,14.0,10.0,12345.0,4764.0,49.0,56.0,417.0,96.0,1360.0,2715.0,583.0,842.0,67.0,73.0,amazon-amazon-echo-dot-with-clock-gen3,1605053627.453
23.0,17.0,7758.0,5425.0,2.0,4.0,6.0,3.0,10.0,9.0,6806.0,4733.0,59.0,71.0,417.0,96.0,1360.0,2715.0,578.0,874.0,70.0,84.0,amazon-amazon-echo-dot-with-clock-gen3,1605053628.624
27.0,21.0,13473.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12361.0,4764.0,52.0,59.0,417.0,96.0,1360.0,1360.0,583.0,588.0,71.0,80.0,amazon-amazon-echo-dot-with-clock-gen3,1605053629.82
21.0,17.0,4703.0,5456.0,2.0,5.0,4.0,3.0,8.0,10.0,3831.0,4764.0,66.0,71.0,417.0,96.0,1360.0,2715.0,524.0,842.0,72.0,85.0,amazon-amazon-echo-dot-with-clock-gen3,1605053630.964
29.0,22.0,13565.0,5701.0,2.0,6.0,10.0,3.0,14.0,11.0,12361.0,4809.0,48.0,56.0,417.0,96.0,1360.0,2715.0,583.0,842.0,69.0,85.0,amazon-amazon-echo-dot-with-clock-gen3,1605053632.144
25.0,21.0,10546.0,5616.0,2.0,5.0,8.0,3.0,12.0,10.0,9514.0,4764.0,54.0,56.0,417.0,96.0,1360.0,2715.0,591.0,842.0,67.0,80.0,amazon-amazon-echo-dot-with-clock-gen3,1605053633.272
26.0,22.0,11676.0,5656.0,2.0,5.0,9.0,4.0,13.0,11.0,10604.0,4764.0,56.0,58.0,417.0,96.0,1360.0,1360.0,588.0,588.0,75.0,77.0,amazon-amazon-echo-dot-with-clock-gen3,1605053634.511
27.0,22.0,13082.0,5656.0,2.0,5.0,10.0,3.0,14.0,10.0,11970.0,4764.0,53.0,57.0,417.0,96.0,1360.0,2715.0,584.0,842.0,72.0,86.0,amazon-amazon-echo-dot-with-clock-gen3,1605053635.725
27.0,20.0,13682.0,5576.0,2.0,5.0,10.0,4.0,14.0,11.0,12570.0,4764.0,52.0,62.0,417.0,96.0,1360.0,1360.0,583.0,588.0,69.0,76.0,amazon-amazon-echo-dot-with-clock-gen3,1605053636.898
27.0,18.0,13678.0,5496.0,2.0,5.0,10.0,3.0,14.0,10.0,12566.0,4764.0,49.0,66.0,417.0,96.0,1360.0,2715.0,583.0,842.0,69.0,81.0,amazon-amazon-echo-dot-with-clock-gen3,1605053638.016
27.0,20.0,13682.0,5576.0,2.0,5.0,10.0,3.0,14.0,10.0,12570.0,4764.0,50.0,59.0,417.0,96.0,1360.0,2715.0,583.0,842.0,72.0,87.0,amazon-amazon-echo-dot-with-clock-gen3,1605053639.284
27.0,21.0,13949.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12837.0,4764.0,50.0,57.0,417.0,96.0,1360.0,1360.0,584.0,588.0,68.0,64.0,amazon-amazon-echo-dot-with-clock-gen3,1605053640.429
27.0,22.0,13682.0,5656.0,2.0,5.0,10.0,4.0,14.0,11.0,12570.0,4764.0,48.0,52.0,417.0,96.0,1360.0,1360.0,583.0,588.0,65.0,59.0,amazon-amazon-echo-dot-with-clock-gen3,1605053641.52
27.0,21.0,13680.0,5616.0,2.0,5.0,10.0,3.0,14.0,10.0,12568.0,4764.0,51.0,58.0,417.0,96.0,1360.0,2715.0,583.0,842.0,74.0,76.0,amazon-amazon-echo-dot-with-clock-gen3,1605053642.698
27.0,21.0,13674.0,5616.0,2.0,5.0,10.0,3.0,14.0,10.0,12562.0,4764.0,49.0,56.0,417.0,96.0,1360.0,2715.0,583.0,842.0,70.0,75.0,amazon-amazon-echo-dot-with-clock-gen3,1605053643.823
27.0,19.0,13674.0,5536.0,2.0,5.0,10.0,2.0,14.0,9.0,12562.0,4764.0,53.0,66.0,417.0,96.0,1360.0,4075.0,583.0,1257.0,77.0,89.0,amazon-amazon-echo-dot-with-clock-gen3,1605053645.047
27.0,21.0,13680.0,5616.0,2.0,5.0,10.0,3.0,14.0,10.0,12568.0,4764.0,51.0,58.0,417.0,96.0,1360.0,2715.0,583.0,842.0,70.0,84.0,amazon-amazon-echo-dot-with-clock-gen3,1605053646.206
27.0,21.0,13680.0,5616.0,2.0,5.0,10.0,3.0,14.0,10.0,12568.0,4764.0,54.0,61.0,417.0,96.0,1360.0,2715.0,583.0,842.0,73.0,82.0,amazon-amazon-echo-dot-with-clock-gen3,1605053647.436
27.0,23.0,13680.0,5696.0,2.0,5.0,10.0,4.0,14.0,11.0,12568.0,4764.0,49.0,50.0,417.0,96.0,1360.0,1360.0,583.0,588.0,68.0,59.0,amazon-amazon-echo-dot-with-clock-gen3,1605053648.539
