,packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
11915,15.0,14.0,3663.0,6298.0,0.0,1.0,3.0,5.0,5.0,8.0,3031.0,5726.0,66.0,75.0,187.0,1460.0,1460.0,1460.0,511.0,592.0,101.0,99.0,amazon-fire-tv-stick-4k
11916,16.0,13.0,3715.0,6447.0,0.0,1.0,3.0,4.0,5.0,8.0,3031.0,5915.0,81.0,89.0,187.0,1460.0,1460.0,1934.0,511.0,703.0,100.0,107.0,amazon-fire-tv-stick-4k
11917,16.0,14.0,3715.0,6487.0,0.0,1.0,3.0,4.0,5.0,8.0,3031.0,5915.0,75.0,79.0,187.0,1460.0,1460.0,1934.0,511.0,703.0,95.0,101.0,amazon-fire-tv-stick-4k
11918,25.0,19.0,8095.0,5607.0,1.0,7.0,6.0,3.0,8.0,12.0,7051.0,4835.0,12541.0,488.0,227.0,96.0,1460.0,2567.0,618.0,816.0,12486.0,445.0,amazon-fire-tv-stick-4k
11919,25.0,22.0,4296.0,5820.0,1.0,10.0,3.0,3.0,5.0,15.0,3204.0,4928.0,12543.0,541.0,227.0,96.0,1460.0,2567.0,631.0,826.0,12495.0,500.0,amazon-fire-tv-stick-4k
11920,11.0,10.0,1716.0,8049.0,0.0,1.0,1.0,5.0,3.0,6.0,1244.0,7637.0,94.0,17992.0,183.0,1460.0,935.0,2368.0,368.0,696.0,98.0,50631.0,amazon-fire-tv-stick-4k
11921,12.0,13.0,1592.0,7561.0,0.0,3.0,1.0,6.0,3.0,9.0,1068.0,7029.0,84.0,9440.0,177.0,1460.0,765.0,1460.0,289.0,605.0,76.0,9378.0,amazon-fire-tv-stick-4k
11922,21.0,10.0,3732.0,1228.0,0.0,0.0,12.0,0.0,12.0,9.0,2892.0,828.0,83830.0,186268.0,241.0,92.0,241.0,92.0,0.0,0.0,117234.0,99456.0,amazon-fire-tv-stick-4k
11923,22.0,21.0,2195.0,6718.0,1.0,9.0,1.0,5.0,4.0,16.0,1235.0,5866.0,14324.0,527.0,190.0,96.0,888.0,1928.0,339.0,735.0,14283.0,487.0,amazon-fire-tv-stick-4k
11924,28.0,25.0,13133.0,5895.0,1.0,9.0,9.0,4.0,11.0,15.0,11933.0,4883.0,11145.0,409.0,227.0,96.0,1460.0,1460.0,519.0,603.0,11096.0,371.0,amazon-fire-tv-stick-4k
11925,312.0,228.0,398738.0,16486.0,1.0,18.0,270.0,4.0,274.0,35.0,386214.0,7354.0,1006.0,91.0,227.0,96.0,1460.0,1460.0,553.0,643.0,964.0,91.0,amazon-fire-tv-stick-4k
11926,258.0,167.0,327770.0,14459.0,1.0,19.0,224.0,4.0,230.0,38.0,317418.0,7767.0,1219.0,127.0,227.0,96.0,1460.0,1460.0,696.0,643.0,1176.0,114.0,amazon-fire-tv-stick-4k
11927,11.0,12.0,1739.0,7470.0,0.0,2.0,1.0,6.0,3.0,8.0,1267.0,6978.0,74.0,16082.0,209.0,1460.0,932.0,1460.0,361.0,581.0,82.0,16023.0,amazon-fire-tv-stick-4k
11928,11.0,9.0,1716.0,8038.0,0.0,1.0,1.0,4.0,3.0,5.0,1244.0,7666.0,80.0,16794.0,183.0,5288.0,935.0,5288.0,368.0,1910.0,76.0,44189.0,amazon-fire-tv-stick-4k
11929,27.0,23.0,11150.0,5815.0,1.0,9.0,8.0,3.0,10.0,14.0,9990.0,4883.0,11578.0,517.0,227.0,96.0,1460.0,2567.0,599.0,823.0,11526.0,474.0,amazon-fire-tv-stick-4k
